产品网址：https://www.iscsemi.com/supply/4.html
产品结构：首页->产品

|产品名称|产品型号|功能描述|
|----|----|----|
|MOSFET 单管|无|无|

可国产化替代之型号,封装
2SJ348,TO-220
2SJ349,TO-220F
2SJ350,TO-220F
2SJ365,DPAK/TO-252
2SJ366,DPAK/TO-252
2SJ367,D²PAK/TO-263
2SJ368,TO-220F
2SJ369,D²PAK/TO-263
2SJ370,TO-220F
2SJ371,D²PAK/TO-263
2SJ372,TO-220F
2SJ373,D²PAK/TO-263
2SJ374,TO-220F
2SJ375,D²PAK/TO-263
2SJ376,TO-220F
2SJ377,TO-252/DPAK
2SJ380,TO-220F
2SJ384L,I²PAK/TO-262
2SJ384S,D²PAK/TO-263
2SJ387L,IPAK/TO-251
2SJ387S,DPAK/TO-252
2SJ388L,IPAK/TO-251
2SJ388S,DPAK/TO-252
2SJ389L,IPAK/TO-251
2SJ389S,DPAK/TO-252
2SJ390,TO-220F
2SJ398,DPAK/TO-252
2SJ400,TO-262/TO-263
2SJ401,TO-262/TO-263
2SJ402,TO-262/TO-263
2SJ407,TO-220F
2SJ409L,I²PAK/TO-262
2SJ409S,D²PAK/TO-263
2SJ410,TO-220F
2SJ412,TO-262/TO-263
2SJ413,TO-3PML
2SJ424,TO-220F
2SJ425,TO-220F
2SJ438,TO-220F
2SJ440,TO-3PF
2SJ443,TO-220F
2SJ464,TO-220F
2SJ471,TO-220F
2SJ472L,IPAK/TO-251
2SJ472S,DPAK/TO-252
2SJ473L,IPAK/TO-251
2SJ473S,DPAK/TO-252
2SJ474L,I²PAK/TO-262
2SJ474S,D²PAK/TO-263
2SJ475,TO-220
2SJ476L,I²PAK/TO-262
2SJ476S,D²PAK/TO-263
2SJ477,TO-220F
2SJ478,TO-220
2SJ479L,I²PAK/TO-262
2SJ479S,D²PAK/TO-263
2SJ48,TO-3
2SJ487,DPAK/TO-252
2SJ488,DPAK/TO-252
2SJ489,DPAK/TO-252
2SJ49,TO-3
2SJ490,DPAK/TO-252
2SJ491,D²PAK/TO-263
2SJ492,TO-220
2SJ492-S,I²PAK/TO-262
2SJ492-ZJ,D²PAK/TO-263
2SJ493,TO-220F
2SJ494,TO-220F
2SJ495,TO-220F
2SJ50,TO-3
2SJ504,TO-220F
2SJ505L,I²PAK/TO-262
2SJ505S,D²PAK/TO-263
2SJ506L,IPAK/TO-251
2SJ506S,DPAK/TO-252
2SJ519,TO-220F
2SJ526,TO-220F
2SJ527L,IPAK/TO-251
2SJ527S,DPAK/TO-252
2SJ528L,IPAK/TO-251
2SJ528S,DPAK/TO-252
2SJ529L,IPAK/TO-251
2SJ529S,DPAK/TO-252
2SJ530L,IPAK/TO-251
2SJ530S,DPAK/TO-252
2SJ531,TO-220F
2SJ532,TO-220F
2SJ533,TO-220F
2SJ534,TO-220F
2SJ535,TO-220F
2SJ539,TO-220
2SJ540,TO-220
2SJ541,TO-220
2SJ542,TO-220
2SJ543,TO-220
2SJ544,TO-220
2SJ545,TO-220F
2SJ546,TO-220F
2SJ547,TO-220F
2SJ548,TO-220F
2SJ549L,I²PAK/TO-262
2SJ549S,D²PAK/TO-263
2SJ55,TO-3
2SJ550L,I²PAK/TO-262
2SJ550S,D²PAK/TO-263
2SJ551L,I²PAK/TO-262
2SJ551S,D²PAK/TO-263
2SJ552L,I²PAK/TO-262
2SJ552S,D²PAK/TO-263
2SJ553L,I²PAK/TO-262
2SJ553S,D²PAK/TO-263
2SJ554,TO-3P
2SJ555,TO-3P
2SJ556,TO-3PF
2SJ56,TO-3
2SJ56H,TO-3
2SJ589LS,TO-220F
2SJ590LS,TO-220F
2SJ591LS,TO-220F
2SJ598,IPAK/TO-251
2SJ598-Z,DPAK/TO-252
2SJ598-ZK,DPAK/TO-252
2SJ599,IPAK/TO-251
2SJ599-Z,DPAK/TO-252
2SJ600,IPAK/TO-251
2SJ600-Z,DPAK/TO-252
2SJ601,IPAK/TO-251
2SJ601-Z,DPAK/TO-252
2SJ601-ZK,DPAK/TO-252
2SJ602,TO-220
2SJ602-S,I²PAK/TO-262
2SJ602-Z,D²PAK/TO-263
2SJ602-ZJ,D²PAK/TO-263
2SJ603,TO-220
2SJ603-S,I²PAK/TO-262
2SJ603-Z,D²PAK/TO-263
2SJ603-ZJ,D²PAK/TO-263
2SJ604,TO-220
2SJ604-S,I²PAK/TO-262
2SJ604-Z,D²PAK/TO-263
2SJ604-ZJ,D²PAK/TO-263
2SJ605,TO-220
2SJ605-S,I²PAK/TO-262
2SJ605-Z,D²PAK/TO-263
2SJ605-ZJ,D²PAK/TO-263
2SJ611,TO-251
2SJ612,TO-251
2SJ618,TO-3PN
2SJ649,TO-220F
2SJ652,TO-220F
2SJ654,TO-251
2SJ661,TO-262/TO-263
2SJ673,TO-220F
2SJ687-ZK,DPAK/TO-252
2SK1006,TO-220F
2SK1007,TO-220
2SK1008,TO-220
2SK1009,TO-220
2SK1010,TO-220
2SK1011,TO-3PN
2SK1012,TO-3PN
2SK1013,TO-3PN
2SK1014,TO-3PN
2SK1015,TO-3PN
2SK1016,TO-3PN
2SK1017,TO-3PN
2SK1018,TO-3PN
2SK1019,TO-3PL
2SK1020,TO-3PL
2SK1021,TO-220
2SK1022,TO-220
2SK1023,TO-220
2SK1024,TO-220
2SK1026,TO-3P
2SK1027,TO-3P
2SK1029,TO-3PL
2SK1036,TO-220F
2SK1038,TO-220F
2SK1039,TO-220F
2SK1040,TO-3PF
2SK1044,TO-3P
2SK1045,TO-3P
2SK1047,TO-3P
2SK1048,TO-3P
2SK1049,TO-3P
2SK1050,TO-3P
2SK1051,TO-3P
2SK1052,TO-220
2SK1053,TO-220
2SK1056,TO-3P
2SK1057,TO-3P
2SK1058,TO-3P
2SK1059,IPAK/TO-251
2SK1059-AZ,DPAK/TO-252
2SK1060,IPAK/TO-251
2SK1060-AZ,DPAK/TO-252
2SK1063,TO-3
2SK1064,TO-3
2SK1073,TO-220F
2SK1074,TO-3PN
2SK1081,TO-3PN
2SK1082,TO-3PN
2SK1083,TO-220F
2SK1084,TO-220F
2SK1085,TO-220F
2SK1085-M,TO-220F
2SK1086,TO-220F
2SK1087,TO-220F
2SK1088,TO-220F
2SK1089,TO-3PN
2SK1090,TO-3PN
2SK1091,TO-3PN
2SK1093,TO-220F
2SK1094,TO-220F
2SK1095,TO-220F
2SK1096,TO-220F
2SK1097,TO-220F
2SK1098,TO-220F
2SK1099,TO-3PF
2SK1101,TO-220F
2SK1102,TO-220F
2SK1105,TO-3PF
2SK1114,TO-220
2SK1115,TO-220
2SK1116,TO-220
2SK1117,TO-220
2SK1118,TO-220F
2SK1119,TO-220
2SK1120,TO-3PN
2SK1121,TO-220F
2SK1122,TO-3PN
2SK1123,TO-3PN
2SK1124,TO-3PN
2SK1134,TO-3PF
2SK1135,TO-3PN
2SK1136,TO-220F
2SK1137,TO-220F
2SK1138,TO-220F
2SK1139,TO-220F
2SK1142,TO-220F
2SK1143,TO-220F
2SK1151L,IPAK/TO-251
2SK1151S,DPAK/TO-252
2SK1152L,IPAK/TO-251
2SK1152S,DPAK/TO-252
2SK1153,TO-220
2SK1154,TO-220
2SK1155,TO-220
2SK1157,TO-220
2SK1158,TO-220
2SK1159,TO-220
2SK1160,TO-220
2SK1161,TO-3PN
2SK1162,TO-3PN
2SK1163,TO-3PN
2SK1164,TO-3PN
2SK1165,TO-3PN
2SK1166,TO-3PN
2SK1167,TO-3PN
2SK1168,TO-3PN
2SK1169,TO-3PN
2SK1170,TO-3PN
2SK1171,TO-3PN
2SK1172,TO-3PN
2SK1177,TO-220F
2SK1178,TO-220F
2SK1179,TO-3PF
2SK1180,TO-3PF
2SK1181,TO-3PF
2SK1183,TO-220F
2SK1184,TO-220F
2SK1185,TO-220F
2SK1186,TO-220F
2SK1187,TO-220F
2SK1188,TO-220F
2SK1189,TO-220F
2SK1190,TO-220F
2SK1191,TO-220F
2SK1192,TO-3PF
2SK1194,DPAK/TO-252
2SK1195,DPAK/TO-252
2SK1197,TO-126
2SK1198,TO-220F
2SK1199,TO-220
2SK1200,TO-3PN
2SK1201,TO-3PN
2SK1202,TO-3PN
2SK1203,TO-3PN
2SK1204,TO-3PN
2SK1205,TO-3PN
2SK1206,TO-3PF
2SK1211,TO-3PF
2SK1212,TO-3PF
2SK1213,TO-3PN
2SK1217,TO-3PF
2SK1221,TO-220
2SK1222,TO-3PN
2SK1224,TO-3PF
2SK1225,TO-3PF
2SK1230,TO-220F
2SK1231,TO-220F
2SK1232,TO-220F
2SK1244,TO-220
2SK1245,TO-220F
2SK1246,TO-220
2SK1247,TO-220F
2SK1248,TO-247
2SK1249,TO-247
2SK1250,TO-3PN
2SK1253,TO-220F
2SK1254L,IPAK/TO-251
2SK1254S,DPAK/TO-252
2SK1268,TO-3PF
2SK1269,TO-3PF
2SK1270,TO-126
2SK1275,TO-220F
2SK1276A,TO-3PN
2SK1277,TO-3PN
2SK1278,TO-3PN
2SK1279,TO-3PN
2SK1280,TO-3PN
2SK1282,IPAK/TO-251
2SK1282-Z,DPAK/TO-252
2SK1283,TO-126
2SK1284,IPAK/TO-251
2SK1284-Z,DPAK/TO-252
2SK1285,TO-126
2SK1286,TO-220F
2SK1287,TO-220F
2SK1288,TO-220
2SK1289,TO-220
2SK1290,TO-220
2SK1292,TO-220F
2SK1293,TO-220
2SK1294,TO-220F
2SK1295,TO-220F
2SK1296,TO-220
2SK1297,TO-3PN
2SK1298,TO-3PF
2SK1299L,IPAK/TO-251
2SK1299S,DPAK/TO-252
2SK1300,TO-220
2SK1301,TO-220
2SK1302,TO-220
2SK1303,TO-3PN
2SK1304,TO-3PN
2SK1305,TO-220F
2SK1306,TO-220F
2SK1307,TO-220F
2SK1313L,I²PAK/TO-262
2SK1313S,D²PAK/TO-263
2SK1314L,I²PAK/TO-262
2SK1314S,D²PAK/TO-263
2SK1315L,I²PAK/TO-262
2SK1315S,D²PAK/TO-263
2SK1316L,I²PAK/TO-262
2SK1316S,D²PAK/TO-263
2SK1317,TO-3PN
2SK1318,TO-220F
2SK1319,TO-220
2SK1320,TO-220
2SK1321,TO-220
2SK1322,TO-220
2SK1323,TO-220
2SK1324,TO-220
2SK1327L,IPAK/TO-251
2SK1327S,DPAK/TO-252
2SK1328,TO-3PF
2SK1329,TO-3PF
2SK133,TO-3
2SK1330,TO-3PF
2SK1331,TO-3PF
2SK1333,TO-3PL
2SK1335L,IPAK/TO-251
2SK1335S,DPAK/TO-252
2SK1338,TO-220
2SK1339,TO-3PN
2SK134,TO-3
2SK1340,TO-3PN
2SK1341,TO-3PN
2SK1342,TO-3PN
2SK1344,TO-220F
2SK1345,TO-220F
2SK1346,TO-220F
2SK1347,TO-220
2SK1348,TO-220F
2SK1349,TO-220F
2SK135,TO-3
2SK1350,TO-220F
2SK1351,TO-220F
2SK1352,TO-220F
2SK1356,TO-220F
2SK1357,TO-3PN
2SK1358,TO-3PN
2SK1359,TO-3PN
2SK1362,TO-3PF
2SK1363,TO-3PF
2SK1365,TO-3PF
2SK1366,TO-220F
2SK1367,TO-220F
2SK1368,TO-220F
2SK1369,TO-3PF
2SK1370,TO-3PF
2SK1371,TO-3
2SK1372,TO-3
2SK1373,TO-3PN
2SK1377,TO-220F
2SK1378,TO-220
2SK1379,TO-3PN
2SK1380,TO-3PL
2SK1381,TO-3PN
2SK1382,TO-3PL
2SK1384,TO-3PF
2SK1385,TO-3PF
2SK1386,TO-3PN
2SK1387,TO-220F
2SK1388,TO-220
2SK1389,TO-3PN
2SK1390,TO-3PF
2SK1391,TO-220
2SK1392,TO-220F
2SK1393,TO-220
2SK1394,TO-220F
2SK1395,TO-247
2SK1396,TO-247
2SK1397,TO-247
2SK1400,TO-220
2SK1401,TO-220
2SK1402,TO-220
2SK1403,TO-3PN
2SK1405,TO-3PF
2SK1406,TO-3PF
2SK1408,TO-3PN
2SK1409,TO-3PN
2SK1410,TO-3PN
2SK1411,TO-3PN
2SK1416,TO-220
2SK1417,TO-220
2SK1418,TO-220
2SK1419,TO-220F
2SK1420,TO-220F
2SK1421,TO-220F
2SK1422,TO-3P
2SK1423,TO-3P
2SK1424,TO-3PML
2SK1425,TO-3PML
2SK1426,TO-3PL
2SK1427,TO-220
2SK1428,TO-220
2SK1429,TO-220
2SK1430,TO-220F
2SK1431,TO-220F
2SK1432,TO-220F
2SK1433,TO-3P
2SK1434,TO-3P
2SK1435,TO-3PML
2SK1436,TO-3PML
2SK1437,TO-3PL
2SK1438,TO-220
2SK1439,TO-220
2SK1440,TO-220
2SK1441,TO-220
2SK1442,TO-220
2SK1443,TO-220F
2SK1444,TO-220F
2SK1445,TO-220F
2SK1446,TO-220F
2SK1447,TO-220F
2SK1448,TO-3P
2SK1449,TO-3P
2SK1450,TO-3P
2SK1451,TO-3PML
2SK1452,TO-3PML
2SK1453,TO-3PML
2SK1454,TO-3PL
2SK1455,TO-220
2SK1456,TO-220
2SK1457,TO-220
2SK1458,TO-220F
2SK1459,TO-220F
2SK1460,TO-220F
2SK1461,TO-3P
2SK1462,TO-3P
2SK1463,TO-3PML
2SK1464,TO-3PML
2SK1465,TO-3PL
2SK1466,TO-3PL
2SK1468,TO-251/TO-252
2SK1469,TO-251/TO-252
2SK1471,TO-251/TO-252
2SK1472,TO-251/TO-252
2SK1474,TO-251/TO-252
2SK1475,TO-251/TO-252
2SK1476,TO-3PN
2SK1477,TO-3PN
2SK1478,TO-220F
2SK1486,TO-3PL
2SK1487,TO-3PN
2SK1488,TO-3PN
2SK1489,TO-3PL
2SK1491,TO-3PN
2SK1492,TO-3PN
2SK1493,TO-220
2SK1493-Z,D²PAK/TO-263
2SK1494,TO-220
2SK1494-Z,D²PAK/TO-263
2SK1495,TO-220
2SK1495-Z,D²PAK/TO-263
2SK1496,TO-220
2SK1496-Z,D²PAK/TO-263
2SK1497,TO-3PN
2SK1498,TO-3PN
2SK1499,TO-3PN
2SK1500,TO-3PN
2SK1501,TO-220
2SK1502,TO-3PN
2SK1503,TO-220
2SK1504L,I²PAK/TO-262
2SK1504S,D²PAK/TO-263
2SK1505,TO-220F
2SK1506,TO-3PN
2SK1507,TO-220F
2SK1508,TO-220
2SK1509,TO-220
2SK1510L,I²PAK/TO-262
2SK1510S,D²PAK/TO-263
2SK1511,TO-3PN
2SK1512,TO-3PN
2SK1513,TO-3PL
2SK1514,TO-3PN
2SK1515,TO-3PN
2SK1516,TO-3PN
2SK1517,TO-3PN
2SK1518,TO-3PN
2SK1519,TO-3PL
2SK1520,TO-3PL
2SK1521,TO-3PL
2SK1523,TO-3PF
2SK1524,TO-3PF
2SK1525,TO-3PF
2SK1526,TO-3PL
2SK1527,TO-3PL
2SK1528L,I²PAK/TO-262
2SK1528S,D²PAK/TO-263
2SK1529,TO-3PN
2SK1531,TO-3PN
2SK1533,DPAK/TO-252
2SK1534,TO-220
2SK1535,TO-220F
2SK1536,TO-247
2SK1537,TO-247
2SK1538,TO-247
2SK1539,TO-247
2SK1540L,I²PAK/TO-262
2SK1540S,D²PAK/TO-263
2SK1541L,I²PAK/TO-262
2SK1541S,D²PAK/TO-263
2SK1542,TO-220
2SK1544,TO-3PL
2SK1545,TO-220F
2SK1546,TO-220F
2SK1547,TO-220F
2SK1548,TO-220F
2SK1549,TO-3PF
2SK1550,TO-220F
2SK1552L,I²PAK/TO-262
2SK1552S,D²PAK/TO-263
2SK1553,TO-220F
2SK1554,TO-220F
2SK1555,TO-220
2SK1555-S,D²PAK/TO-263
2SK1556,TO-220F
2SK1557,DPAK/TO-252
2SK1558,TO-220F
2SK1559,TO-220
2SK1559-S,D²PAK/TO-263
2SK1560,DPAK/TO-252
2SK1561,TO-220
2SK1561-S,D²PAK/TO-263
2SK1562,TO-220
2SK1563,TO-220
2SK1564,TO-220
2SK1565,TO-220
2SK1567,TO-220F
2SK1568,TO-220F
2SK1569,TO-220F
2SK1570,TO-3PN
2SK1571,TO-3PN
2SK1572,TO-220F
2SK1573,TO-3PN
2SK1574,TO-220
2SK1594,TO-220F
2SK1596,TO-220F
2SK1600,TO-220
2SK1601,TO-220
2SK1602,TO-220F
2SK1603,TO-220F
2SK1605,TO-220F
2SK1606,TO-220F
2SK1607,TO-3PN
2SK1608,TO-220F
2SK1609,TO-220F
2SK1610,TO-3PN
2SK1611,TO-220F
2SK1612,TO-220F
2SK1613,TO-3PN
2SK1614,TO-3PN
2SK1618L,I²PAK/TO-262
2SK1618S,D²PAK/TO-263
2SK1620L,I²PAK/TO-262
2SK1620S,D²PAK/TO-263
2SK1621L,I²PAK/TO-262
2SK1621S,D²PAK/TO-263
2SK1622L,I²PAK/TO-262
2SK1622S,D²PAK/TO-263
2SK1623L,I²PAK/TO-262
2SK1623S,D²PAK/TO-263
2SK1624L,I²PAK/TO-262
2SK1624S,D²PAK/TO-263
2SK1625L,I²PAK/TO-262
2SK1625S,D²PAK/TO-263
2SK1626,TO-220F
2SK1627,TO-220F
2SK1628,TO-3PL
2SK1629,TO-3PL
2SK1630,TO-220
2SK1631,TO-220F
2SK1632,TO-220
2SK1633,TO-220F
2SK1634,TO-3PN
2SK1635,TO-3PL
2SK1636L,I²PAK/TO-262
2SK1636S,D²PAK/TO-263
2SK1637,TO-220F
2SK1638,TO-220
2SK1639,TO-220
2SK1641,TO-3PN
2SK1642,TO-220F
2SK1643,TO-220
2SK1647L,I²PAK/TO-262
2SK1647S,D²PAK/TO-263
2SK1648L,I²PAK/TO-262
2SK1648S,D²PAK/TO-263
2SK1649,TO-3PN
2SK1650,TO-3PN
2SK1651,TO-3PF
2SK1652,TO-3PF
2SK1653,TO-220F
2SK1654,TO-220
2SK1654-S,D²PAK/TO-263
2SK1655,TO-220
2SK1655-S,D²PAK/TO-263
2SK1659L,I²PAK/TO-262
2SK1659S,D²PAK/TO-263
2SK1660,TO-3PF
2SK1662,TO-220F
2SK1663L,I²PAK/TO-262
2SK1663S,D²PAK/TO-263
2SK1664,TO-220F
2SK1665,TO-3PN
2SK1666,TO-3PF
2SK1667,TO-220
2SK1668,TO-220F
2SK1669,TO-3PN
2SK1670,TO-3PF
2SK1671,TO-3PN
2SK1672,DPAK/TO-252
2SK1674,TO-3PN
2SK1677,TO-3PN
2SK1678,TO-3PN
2SK1679,TO-3PN
2SK1680,TO-3PN
2SK1681,TO-3PL
2SK1683,TO-3PF
2SK1684,TO-3PF
2SK1685,TO-3PF
2SK1686,TO-3PF
2SK1690,TO-262/TO-263
2SK1691,TO-262/TO-263
2SK1692,TO-3PN
2SK1693,TO-220
2SK1694,D²PAK/TO-263
2SK1695,TO-220F
2SK1696,TO-3PF
2SK1699,TO-220
2SK1700,TO-220F
2SK1701,TO-220
2SK1702,TO-220F
2SK1703,TO-220
2SK1704,TO-220F
2SK1705,TO-3PN
2SK1706,TO-220
2SK1707,TO-220
2SK1708,TO-220F
2SK1709,TO-220
2SK1710,TO-220F
2SK1711,TO-220F
2SK1712,TO-220F
2SK1713,TO-220F
2SK1714,TO-220F
2SK1715,TO-3PF
2SK1716,TO-220F
2SK1718,TO-220F
2SK1723,TO-3PN
2SK1741,I²PAK/TO-262
2SK1745,TO-3PN
2SK1748,IPAK/TO-251
2SK1748-Z,DPAK/TO-252
2SK1749,TO-3PN
2SK175,TO-3
2SK1750,TO-220
2SK1750-Z,D²PAK/TO-263
2SK1751,TO-220
2SK1751-Z,D²PAK/TO-263
2SK1752,TO-3PN
2SK1753,TO-3PN
2SK1754,DPAK/TO-252
2SK1756,TO-3PN
2SK1757,TO-3PN
2SK1758,TO-220F
2SK176,TO-3
2SK1760,TO-3PN
2SK1761,TO-220
2SK1762,TO-220F
2SK1763L,IPAK/TO-251
2SK1763S,DPAK/TO-252
2SK1766,TO-220F
2SK1767,TO-220F
2SK176H,TO-3
2SK1773,TO-3PN
2SK1774,TO-3PF
2SK1775,TO-3PF
2SK1776,TO-220F
2SK1777,TO-220F
2SK1778,TO-220F
2SK1784,TO-3PN
2SK1785,TO-3PN
2SK1792L,I²PAK/TO-262
2SK1792S,D²PAK/TO-263
2SK1793,TO-220
2SK1793-Z,D²PAK/TO-263
2SK1794,TO-3PN
2SK1795,TO-3PN
2SK1796,TO-3PN
2SK1803,TO-3PF
2SK1805,TO-220F
2SK1807,TO-220
2SK1808,TO-220F
2SK1809,TO-220
2SK1810,TO-220
2SK1811,TO-247
2SK1812,TO-247
2SK1813,I²PAK/TO-262
2SK1814,TO-220
2SK1815,TO-3PF
2SK1817,TO-220F
2SK1818,TO-220F
2SK1819,TO-220F
2SK1820L,I²PAK/TO-262
2SK1820S,D²PAK/TO-263
2SK1821,TO-220F
2SK1822,TO-220F
