产品网址：https://www.vmdsemi.com/home/product.html
产品结构：root->杭州唯美地半导体有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|开关产品|无|无|

No.,VMD Part No.,Package,VDS_Max. (V),ID_Max. (A),VTH (V)  Min.,VTH (V)  Typ.,VTH (V)  Max.,RDS(ON) @  VGS=1.8V (mΩ)  Typ.,RDS(ON) @  VGS=1.8V (mΩ)  Max.,RDS(ON) @  VGS=2.5V (mΩ)  Typ.,RDS(ON) @  VGS=2.5V (mΩ)  Max.,RDS(ON) @  VGS=4.5V (mΩ)  Typ.,RDS(ON) @  VGS=4.5V (mΩ)  Max.,RDS(ON) @  VGS=10V (mΩ)  Typ.,RDS(ON) @  VGS=10V (mΩ)  Max.,ESD,Qg_Typ. (nC),Ciss_Typ. (pF)
14,VUSG002R780NA,SOT-323,20,2.1,0.65,0.95,1.2,／,／,70,105,59,78,／,／,NO,2,305
15,VUSG002R630NA,SOT-323,20,3,0.4,0.6,1,69,89,55,72,48,63,／,／,NO,6.8,480
16,VUSK002R25ANA,SOT-523,20,0.5,0.45,0.8,1.2,／,／,260,340,190,250,／,／,YES,／,120
17,VUSK002R26ANA,SOT-523,20,0.75,0.35,0.75,1.1,390,590,260,360,190,260,／,／,YES,／,120
18,VUSN002R26ANA,SOT-723,20,0.75,0.35,0.75,1.1,390,590,260,360,190,260,／,／,YES,／,79
19,VUSP002R380NA,SOT-89-3L,20,4,0.4,0.65,1,／,／,25,80,20,50,18,38,NO,6,336
20,VUDA002R25ANA,DFN1006-3L,20,0.75,0.35,0.75,1.1,350,525,250,330,190,250,／,／,YES,／,75
21,VUDA002R30ANB,DFN1006-3L,20,0.75,0.35,0.75,1.1,380,570,290,390,230,300,／,／,YES,／,79
22,VUDA002R30ANA,DFN1006-3L,20,0.7,0.35,0.75,1.1,415,700,260,350,180,300,／,／,YES,1,56
23,VUDD002R130NA,DFN2*2-6L,20,12,0.45,0.62,1,17,25,12.5,16,10,13,／,／,NO,25.5,777
24,VUSB002R220NA,SOT-23,20,6,0.5,0.7,1,30,45,22,32,18,24,17,22,NO,／,630
25,VUSC002R280NA,SOT-23-3L,20,4.5,0.35,0.7,1,43,55,25,35,19,28,／,／,NO,6,357.5
26,VUSK002R30ANA,SOT-523,20,0.5,0.35,0.75,1.1,420,700,290,400,220,300,／,／,YES,1,56
27,VUPA002R070NA,PDFN3.3*3.3-8L,20,20,0.4,0.7,1,／,／,6.3,9,5.2,7,／,／,YES,13.8,1472
28,VUDA002R37ANA,DFN1006-3L,20,0.75,0.35,0.75,1,415,620,320,480,270,370,/,/,YES,／,79
29,VUSB002R230NA,SOT-23,20,6,0.4,0.7,1,43,63,27,35,20,27,17,13,YES,8,438
30,VUDD002R130NB,DFN2*2-6L,20,12,0.35,0.7,1,23,30,14,18,10,13,／,／,NO,20,1900
31,VUDA003R42ANA,DFN1006-3L,30,0.6,0.5,1,1.5,／,／,410,540,320,420,／,／,YES,1.2,44
32,VUDD003R400NA,DFN2*2-6L,30,5,0.6,0.75,1,／,／,38,50,32,42,30,40,YES,10,245
33,VUDD003R120NA,DFN2*2-6L,30,10,1,1.5,3,／,／,／,／,12,18,8.5,12,NO,12,1265
34,VUDE003R120NA,DFN3*3-8L,30,35,1,1.7,3,／,／,／,／,12,18,8,12,NO,13.5,1570
35,VUPA003R120NA,PDFN3.3*3.3-8L,30,20,1,1.7,3,／,／,／,／,12,18,8.5,12,NO,16,1220
36,VUPA003R085NA,PDFN3.3*3.3-8L,30,45,1,1.5,3,／,／,／,／,9.5,14,6.5,8.5,NO,22.2,990.2
37,VUPA003R070NA,PDFN3.3*3.3-8L,30,50,1,1.5,3,／,／,／,／,7.5,11,5.5,7,NO,30,1540
38,VUPA003R065NA,PDFN3.3*3.3-8L,30,50,1,1.6,3,／,／,／,／,7.2,11,5,6.5,NO,15,1666
39,VUPA003R050NA,PDFN3.3*3.3-8L,30,55,1,1.7,2.5,／,／,／,／,5.7,8,3.6,5,NO,42,2103
40,VUPB003R090NA,PDFN5*6-8L,30,25,1,1.5,3,／,／,／,／,10.5,13,7.3,9,NO,21,1217
41,VUPB003R055NA,PDFN5*6-8L,30,90,1,1.7,2.5,／,／,／,／,6,9,4.3,5.5,NO,27,2267
42,VUPB003R041NA,PDFN5*6-8L,30,80,1,1.7,3,／,／,／,／,4.6,6.5,3.1,4.1,NO,33,3380
43,VUPB003R019NA,PDFN5*6-8L,30,110,1,1.5,3,／,／,／,／,2.3,2.8,1.5,1.9,NO,55,5150
44,VUPB003R016NA,PDFN5*6-8L,30,150,1,1.5,3,／,／,／,／,1.7,2.3,1.3,1.6,NO,103,7560
45,VUPB003R014NA,PDFN5*6-8L,30,180,1,1.5,3,／,／,／,／,1.4,1.9,1.05,1.4,NO,123,9100
46,VUPB003R013NA,PDFN5*6-8L,30,180,1,1.5,3,／,／,／,／,1.4,1.8,1,1.3,NO,159.3,8253
47,VUSA003R110NA,SOP8,30,10,1,1.5,3,／,／,／,／,12,16,8,11,NO,13.5,1570
48,VUSA003R060NA,SOP8,30,18,1,1.5,3,／,／,／,／,6.6,8.5,4.8,6,NO,62.3,2987
49,VUSB003R50ANA,SOT-23,30,0.6,0.5,1,1.5,／,／,410,600,320,500,／,／,YES,0.87,39.4
50,VUSB003R11ANA,SOT-23,30,1.4,1,1.5,3,／,／,／,／,103,135,74,110,NO,5,100
51,VUSB003R650NA,SOT-23,30,3.3,1,1.6,3,／,／,／,／,47,105,37,65,NO,／,375
53,VUSB003R470NA,SOT-23,30,4,1,1.6,3,／,／,／,／,43,65,33,47,NO,6,305
54,VUSB003R520NA,SOT-23,30,4,0.5,0.95,1.5,／,／,45,85,37,65,34,52,NO,4.4,389
55,VUSB003R420NA,SOT-23,30,5,0.6,0.8,1,／,／,38,58,32,44,30,42,YES,15.4,249
56,VUSB003R300NA,SOT-23,30,5.8,1,1.5,3,／,／,／,／,27,42,20,30,NO,9,583
57,VUSB003R350NA,SOT-23,30,5.8,0.7,1,1.5,／,／,28,52,23,40,22,35,NO,／,1050
58,VUSC003R350NA,SOT-23-3L,30,5.8,0.7,1,1.5,／,／,28,52,23,40,22,35,NO,15.3,605
59,VUSC003R520NA,SOT-23-3L,30,4,0.5,0.9,1.5,／,／,48,85,40,65,38,52,NO,4.4,389
60,VUSC003R270NA,SOT-23-3L,30,5.8,0.7,1,1.4,／,／,25,48,22,30,20,27,NO,／,1155
61,VUSG003R30BNB,SOT-323,30,0.1,0.6,／,1.5,／,／,1200,4500,1100,3000,／,／,YES,／,13
62,VUSG003R50ANA,SOT-323,30,0.6,0.5,1,1.5,／,／,410,600,320,500,／,／,YES,1.2,44
63,VUSK003R50ANA,SOT-523,30,0.6,0.5,1,1.5,／,／,380,600,290,500,／,／,YES,1.2,44
64,VUSN003R30BNA,SOT-723,30,0.1,0.6,／,1.5,／,／,1400,4200,1100,3000,／,／,YES,／,30
66,VUTL003R070NA,TO-252-2L,30,50,1,1.6,3,／,／,／,／,7.5,11.5,5.5,7,NO,15,1666
67,VUTL003R073NA,TO-252-2L,30,47,1,1.5,3,／,／,／,／,8.8,13,5.7,7.3,NO,22.2,990.2
68,VUTL003R060NA,TO-252-2L,30,90,1,1.7,2.5,／,／,／,／,6,9,3.7,6,NO,27,2794
69,VUTL003R041NA,TO-252-2L,30,100,1,1.5,3,／,／,／,／,4.6,6.5,3.1,4.1,NO,33,3380
70,VUTL003R031NA,TO-252-2L,30,140,1,1.5,3,／,／,／,／,2.9,3.8,2.5,3.1,NO,120,5144
71,VUTL003R021NA,TO-252-2L,30,150,1,1.5,3,／,／,／,／,2.2,2.9,1.8,2.1,NO,150,7560
72,VUTP003R031NA,TO-263,30,140,1,1.5,3,／,／,／,／,2.9,3.8,2.5,3.1,NO,120,5144
73,VUDF003R060NA,DFN3.3*3.3-8L,30,50,1,1.5,2.5,／,／,／,／,6,8,3.9,6,NO,46.3,2191
74,VUPB003R075NA,PDFN5*6-8L,30,50,1,1.6,3,／,／,／,／,7.8,11.5,5.5,7.5,NO,30,1581
75,VUPB003R021NA,PDFN5*6-8L,30,150,1,1.5,3,／,／,／,／,2.1,2.8,1.5,2.1,NO,105,5186
76,VUSA003R350NA,SOP8,30,4,1,1.7,2.5,／,／,／,／,43,55,26,35,NO,4,295
77,VUSF003R290NA,SOT-223,30,5.8,1,1.6,3,／,／,／,／,30,40,22,29,NO,11.3,520
78,VUSC003R300NA,SOT-23-3L,30,5.8,1,1.6,3,／,／,／,／,28,42,21,30,NO,11.1,484
79,VUTA003R028NA,TO-220,30,150,1,1.5,3,／,／,／,／,2.1,3.5,1.7,2.8,NO,141.9,7741
80,VUTA003R024NA,TO-220,30,165,1,1.5,3,／,／,／,／,2.4,3.5,1.8,2.4,NO,147.7,7449
81,VUTJ003R070NA,TO-251-3L,30,50,1,1.6,3,／,／,／,／,7.5,11.5,5.5,7,NO,15,1666
82,VUTL003R120NA,TO-252-2L,30,44,1,1.5,3,／,／,／,／,13,19,8,12,NO,18.5,937
83,VUTL003R040NA,TO-252-2L,30,110,1,1.7,3,／,／,／,／,3.8,5.8,2.6,4,NO,64.1,5615
84,VUTL003R021NB,TO-252-2L,30,165,1,1.5,3,／,／,／,／,2.2,3.3,1.6,2.1,NO,147.7,7449
85,VUTP003R021NA,TO-263,30,165,1,1.5,3,／,／,／,／,2.2,2.6,1.7,2.1,NO,144.5,7421
86,VUTL003R075NA,TO-252-2L,30,47,1,1.5,3,／,／,／,／,9,14,6,7.5,NO,22.2,990.2
87,VUSB003R250NA,SOT-23,30,5.6,0.65,0.9,1.5,／,／,27,45,23,31,20,25,NO,17.25,630
88,VUPA004R095NA,PDFN3.3*3.3-8L,40,25,1,1.5,2.5,／,／,／,／,9,15,7,9.5,NO,30,2845
89,VUPA004R072NA,PDFN3.3*3.3-8L,40,40,1,1.5,3,／,／,／,／,7.1,11,5.5,7.2,NO,24.6,588
90,VUPA004R082NA,PDFN3.3*3.3-8L,40,60,1.2,1.6,2.5,／,／,／,／,7.9,11.8,6.3,8.2,NO,20,3163
91,VUTA004R082NA,TO-220,40,80,1.2,1.6,2.5,／,／,／,／,7.9,11.8,6.3,8.2,NO,20,3163
92,VUPB004R025NA,PDFN5*6-8L,40,110,1,1.7,3,／,／,／,／,2.35,3.5,1.85,2.5,NO,150,11700
93,VUPB004R070NA,PDFN5*6-8L,40,90,1.2,1.6,2.5,／,／,／,／,7,10.5,5.5,7,NO,20,3163
94,VUPB004R033NA,PDFN5*6-8L,40,120,1,1.7,3,／,／,／,／,3.5,5.3,2.5,3.3,NO,26.1,6573
95,VUSA004R450NA,SOP8,40,5,1,1.6,2.5,／,／,／,／,44,55,28,45,NO,9.3,367
96,VUSA004R300NA,SOP8,40,7,1,1.6,2.5,／,／,／,／,28,38,22,30,NO,7.3,418
97,VUSA004R090NA,SOP8,40,25,1,1.5,2.5,／,／,／,／,9,13.5,7,9,NO,20,2775
98,VUSE004R220NA,SOT-23-6L,40,8,1,1.6,2.5,／,／,／,／,22,28,17,22,NO,9.8,1013
99,VUTD004R030NA,TO-220F,40,130,1,1.7,3,／,／,／,／,2.9,4.4,2.3,3,NO,30.1,9653
100,VUTL004R039NA,TO-252-2L,40,120,1,1.7,3,／,／,／,／,4,6,3,3.9,NO,26.1,6573
101,VUTL004R030NA,TO-252-2L,40,130,1,1.7,3,／,／,／,／,2.9,4.4,2.3,3,NO,30.1,9653
102,VUPB004R085NA,PDFN5*6-8L,40,42,1,1.7,3,／,／,／,／,8.5,12,6.5,8.5,NO,52,2876
103,VUTA004R035NA,TO-220,40,130,1,1.6,3,／,／,／,／,3.1,4,2.8,3.5,NO,221,12655
104,VUTL004R085NA,TO-252-2L,40,55,1,1.7,3,／,／,／,／,8.2,12,6.5,8.5,NO,51,2896
105,VUTL004R062NA,TO-252-2L,40,70,1,1.7,3,／,／,／,／,5.6,8.5,4.8,6.2,NO,67,3747
106,VUTL004R030NB,TO-252-2L,40,145,1,1.5,3,／,／,／,／,3.5,5.3,2.3,3.0,NO,203,11828
107,VUTP004R031NA,TO-263,40,130,1,1.5,3,／,／,／,／,2.9,4,2.5,3.1,NO,230,13003
108,VUSG005R25BNA,SOT-323,50,0.3,0.6,0.9,1.5,／,／,1200,4500,980,3000,920,2500,YES,／,30
109,VUSB005R25BNA,SOT-23,50,0.3,0.6,0.9,1.5,／,／,1200,4500,980,3000,920,2500,NO,／,30
110,VUSK005R25BNA,SOT-523,50,0.3,0.6,0.9,1.5,／,／,1200,4500,980,3000,920,2500,YES,／,30
111,VUSB005R35BNA,SOT-23,50,0.22,0.8,／,1.5,／,／,／,／,1300,6000,1200,3500,YES,／,26.5
112,VUSG005R30BNA,SOT-323,50,0.34,0.8,1.1,1.5,／,／,／,／,850,6000,800,3000,NO,／,26.5
113,VUSB003R25BNA,SOT-23,50,0.3,0.6,0.9,1.5,／,／,1200,4500,980,3000,920,2500,NO,／,30
114,VUSB005R30BNA,SOT-23,50,0.22,0.8,／,1.5,／,／,／,／,1100,5000,1000,3000,NO,／,26.5
115,VUDB006R15BNA,DFN1*1-4L,60,0.41,1,1.4,2.5,／,／,／,／,1300,1800,1200,1500,YES,0.72,41
116,VUDA006R15BNA,DFN1006-3L,60,0.41,1,1.4,2.5,／,／,／,／,1300,1800,1200,1500,YES,1.41,41
117,VUPA006R350NA,PDFN3.3*3.3-8L,60,20,1,2,3,／,／,／,／,／,／,26,35,NO,12,960
118,VUSA006R160NA,SOP8,60,9,1,1.5,2.5,／,／,／,／,11.5,18,8.7,16,NO,62,2595
119,VUSF006R900NA,SOT-223,60,3,0.5,1.2,2,／,／,／,／,82,125,70,90,NO,7,414.3
120,VUSC006R400NA,SOT-23-3L,60,6,1,1.6,3,／,／,／,／,35,48,29,40,NO,15,974
121,VUSB006R25BNA,SOT-23,60,0.34,1,1.5,2.5,／,／,／,／,950,3000,850,2500,NO,0.32,34.8
122,VUSB006R25BNB,SOT-23,60,0.34,1,1.5,2.5,／,／,／,／,1100,3000,900,2500,YES,0.29,23.7
123,VUSB006R900NA,SOT-23,60,3,0.5,1.2,2,／,／,／,／,82,123,70,90,NO,7,250
124,VUSG006R25BNA,SOT-323,60,0.34,1,1.5,2.5,／,／,／,／,950,3000,850,2500,NO,0.32,34.8
125,VUSG006R25BNB,SOT-323,60,0.34,1,1.5,2.5,／,／,／,／,1100,3000,900,2500,YES,0.29,23.7
126,VUSK006R25BNA,SOT-523,60,0.34,1,1.5,2.5,／,／,／,／,950,3000,850,2500,NO,0.32,34.8
127,VUSK006R25BNB,SOT-523,60,0.34,1,1.5,2.5,／,／,／,／,1100,3000,900,2500,YES,0.29,23.7
128,VUSN006R25BNA,SOT-723,60,0.34,1,1.5,2.5,／,／,／,／,950,3000,850,2500,NO,0.32,34.8
129,VUSN006R35BNA,SOT-723,60,0.34,1,1.5,2.5,／,／,／,／,1100,4000,850,3500,NO,2,32.5
130,VUSN006R25BNB,SOT-723,60,0.34,1,1.5,2.5,／,／,／,／,1100,3000,900,2500,YES,0.29,23.7
131,VUSN006R35BNB,SOT-723,60,0.34,1,1.5,2.5,／,／,／,／,2100,4000,1800,3500,YES,1.3,16.6
132,VUTL006R380NA,TO-252-2L,60,20,1,2,3,／,／,／,／,／,／,29,38,NO,17,780
133,VUTL006R110NA,TO-252-2L,60,75,1,1.6,3,／,／,／,／,／,／,9.5,11,NO,50,2682
134,VUDB006R25BNA,WBHFBP-04C,60,0.34,1,1.5,2.5,／,／,／,／,1400,3000,1300,2500,YES,0.29,24.3
135,VUPB006R350NA,PDFN5*6-8L,60,20,1,2,3,／,／,／,／,／,／,26,35,NO,12,960
136,VUSE006R360NA,SOT-23-6L,60,6,1,1.6,3,／,／,／,／,35,55,28,36,NO,20,865
137,VUSB006R35BNA,SOT-523,60,0.34,1,1.5,2.5,／,／,／,／,2100,4000,1800,3500,YES,1.3,16.6
138,VUSP006R360NA,SOT-89-3L,60,6,1,1.6,3,／,／,／,／,35,55,28,36,NO,20.3,859
139,VUTA006R130NA,TO-220,60,75,1,1.5,3,／,／,／,／,11.5,25,8.5,13,NO,50,2682
140,VUTL006R950NA,TO-252-2L,60,10,0.5,1.3,2,／,／,／,／,85,110,75,95,NO,10.4,457
141,VUTL006R190NA,TO-252-2L,60,40,1,1.7,3,／,／,／,／,26,45,17,19,NO,28.5,1291
142,VUTL006R160NA,TO-252-2L,60,55,1,1.5,3,／,／,／,／,14,21,12,16,NO,38,1764
143,VUTP006R075NA,TO-263,60,120,2,3,4,／,／,／,／,／,／,5.2,7.5,NO,195,5646
144,VUTA006R075NC,TO-220,60,120,2,3,4,／,／,／,／,／,／,5.6,7.5,NO,101,5625
145,VUTL006R075NA,TO-252-2L,60,120,2,3,4,／,／,／,／,／,／,6,7.5,NO,101,5695
146,VUTL008R120NA,TO-252,80,68,1.3,／,2.5,／,／,／,／,11,14,9,12,NO,80,3280
147,VUSB8P5R15ANA,SOT-23,85,3.5,1,2,3,／,／,／,／,116,180,98,150,NO,9.8,335
148,VUSA010R390NA,SOP8,100,7,1,1.7,2.5,／,／,／,／,31,46,26,39,NO,57.7,2249
149,VUSB010R40BNA,SOT-23,100,0.17,1,1.8,3,／,／,／,／,2200,5000,2100,4000,NO,1.5,32
150,VUSB010R45BNA,SOT-23,100,0.17,1,1.45,3,／,／,／,／,3200,6000,3000,4500,YES,1.5,29
151,VUSB010R66BNA,SOT-23,100,0.17,1,1.6,3,／,／,／,／,5900,7500,5500,6600,YES,1.4,19
152,VUSB010R27ANA,SOT-23,100,1,2,2.3,4,／,／,／,／,230,320,210,270,NO,6.2,228
153,VUSB010R23ANA,SOT-23,100,2,1.2,1.5,2.5,／,／,／,／,180,240,175,230,NO,5.2,190
154,VUSB010R25ANA,SOT-23,100,2,1.2,1.5,2.5,／,／,／,／,208,270,195,250,NO,5.2,190
155,VUAA010R16ANA,TSOT-23-6L,100,3,1,1.6,2,／,／,／,／,140,170,135,160,NO,13.7,607
156,VUSB010R14ANA,SOT-23,100,3,1,1.5,3,／,／,／,／,140,190,110,140,NO,3.29,142.4
157,VUSP010R14ANA,SOT-89-3L,100,3,1,2,3,／,／,／,／,84,150,68,140,NO,18,790
158,VUTA010R600NA,TO-220,100,25,1,2,3,／,／,／,／,／,／,46,60,NO,27,1680
159,VUTL010R11ANA,TO-252-2L,100,15,1,2,3,／,／,／,／,／,／,76,105,NO,17,580
160,VUSF010R24ANA,SOT-223,100,2,1,1.5,2.5,／,／,／,／,190,270,183,240,NO,12.1,439.6
161,VUSE010R15ANA,SOT-23-6L,100,3,1,2,3,／,／,／,／,102,170,77,145,NO,20.5,817.2
162,VUSC010R900NA,SOT-23-3L,100,5,1,2,3,／,／,／,／,88,135,70,90,NO,21.5,849
163,VUTJ010R10ANA,TO-251-3L,100,15,1,1.5,2,／,／,／,／,83,125,77,100,NO,25.8,1045
164,VUTJ010R11ANA,TO-251-3L,100,15,1,2,3,／,／,／,／,／,／,76,105,NO,17,580
165,VUTL010R560NA,TO-252-2L,100,27,1,1.9,3,／,／,／,／,41,69,38,56,NO,54.5,2897
166,VUTS010R055NA,TO-220,100,200,2.4,3,3.6,／,／,／,／,／,／,4.5,5.5,NO,232,14755
167,VUTS010R055NB,TO-220,100,130,2.4,3,3.6,／,／,／,／,／,／,4.5,5.5,NO,232,14755
168,VUTP010R058NA,TO-263,100,200,2.5,3.1,3.6,／,／,／,／,／,／,4.6,5.8,NO,238,13970
169,VUTP010R055NB,TO-263,100,200,2.4,3,3.6,／,／,／,／,／,／,4.5,5.5,NO,232,14755
170,VUTP010R055NA,TO-263,100,130,2.4,3,3.6,／,／,／,／,／,／,4.5,5.5,NO,232,14755
171,VUSB015R65ANA,SOT-23,150,1,1.5,2.5,3.5,／,／,／,／,／,／,400,650,NO,8.75,372.6
172,VUTL004R058NA,TO-252,40,159,1,1.6,2.5,/,/,/,/,5.8,8.8,4.3,5.8,NO,27,3025
173,VUTL004R065NA,TO-252,40,108,1,1.7,2.5,/,/,/,/,5.5,8.5,4.6,6.5,NO,57,3200
1,VUDD1P2R280PA,DFN2*2-6L,-12,-8,-0.4,-0.6,-1,36,54,24,40,18,28,／,／,NO,14,1200
2,VUDD1P2R180PA,DFN2*2-6L,-12,-16,-0.4,-0.7,-1,／,／,14,27,12,18,／,／,NO,18,165 8
3,VUDE1P2R120PA,DFN3*3-8L,-12,-27,-0.4,-0.7,-1,15,19,10,14,8,12,／,／,NO,42,385
4,VUDE1P2R075PA,DFN3*3-8L,-12,-34,-0.35,-0.5,-1,10,15,7,9.1,5.7,7.5,／,／,NO,65,4850
5,VUSB1P2R450PA,SOT-23,-12,-4.1,-0.5,-0.65,-0.9,60,90,40,60,30,45,／,／,NO,4.5,740
6,VUSB1P2R280PA,SOT-23,-12,-6,-0.4,-0.65,-1,35,63,27,40,19,28,／,／,NO,14,1275
7,VUSC1P2R280PA,SOT-23-3L,-12,-6,-0.4,-0.65,-1,35,63,27,40,19,28,／,／,NO,14,1275
8,VUPA1P2R065PA,PDFN3.3*3.3-8L,-12,-52,-0.4,-0.7,-1,／,／,6.5,9,5,6.5,／,／,NO,78,4643
9,VUSB1P2R580PA,SOT-23,-12,-3,-0.4,-0.7,-1,87,130,61,80,44,58,／,／,NO,7.2,509
10,VUSC1P2R190PA,SOT-23-3L,-12,-11,-0.5,-0.8,-1.2,／,／,19,28,14,19,／,／,NO,35,2700
11,VUPA1P8R073PA,PDFN3.3*3.3-8L,-18,-34,-0.35,-0.5,-1,10,15,7,9.4,5.6,7.3,／,／,NO,65,4850
12,VUSG002R11APA,SOT-323,-20,-1.4,-0.45,-0.65,-1,145,210,115,140,90,110,／,／,NO,3.3,640
13,VUDA002R52APA,DFN1006-3L,-20,-0.66,-0.4,-0.7,-1,810,1100,570,780,400,520,／,／,YES,2.26,79
14,VUSN002R52APA,SOT-723,-20,-0.66,-0.4,-0.7,-1,810,1100,570,780,400,520,／,／,YES,2.26,79
15,VUSB002R500PA,SOT-23,-20,-4,-0.4,-0.65,-1,63,100,45,60,33,50,／,／,YES,17.2,1450
16,VUDD002R220PA,DFNWB2×2-6L-J,-20,-11,-0.45,-0.6,-1,／,／,27,40,17,22,／,／,NO,35,2700
17,VUSB002R390PA,SOT-23,-20,-5.4,-0.4,-0.62,-1,48,63,36,49,27,39,／,／,NO,10.98,1010
18,VUDA002R85APA,DFN1006-3L,-20,-0.65,-0.35,-0.62,-1.2,1350,2000,855,1200,580,850,／,／,YES,1.24,71
19,VUSB002R940PA,SOT-23,-20,-2,-0.4,-0.62,-1,183,215,109,127,81,94,／,／,NO,4.5,327
20,VUTX002R870PA,DFN1*1-3L,-20,-2,-0.4,-0.7,-1,／,／,98,147,67,87,／,／,NO,3,290
21,VUDA002R52APB,DFN1006-3L,-20,-0.66,-0.4,-0.7,-1,810,1100,570,780,400,520,／,／,YES,2.26,79
22,VUPA002R070PA,PDFN3.3*3.3-8L,-20,-45,-0.4,-0.75,-1,／,／,7.5,9,5.8,7,／,／,NO,50,3600
23,VUSA002R080PA,SOP8,-20,-15,-0.4,-0.7,-1,15,23,8.5,11,6,8,／,／,NO,66,4027
24,VUSB002R52APA,SOT-23,-20,-0.66,-0.4,-0.7,-1,810,1100,570,780,400,520,／,／,YES,2.26,79
25,VUSB002R11APA,SOT-23,-20,-2.3,-0.4,-0.7,-1,／,／,110,142,70,112,／,／,NO,4.87,437
26,VUSB002R900PA,SOT-23,-20,-3.2,-0.4,-0.7,-1,／,／,68,140,50,90,／,／,NO,3.8,373
27,VUSB002R570PA,SOT-23,-20,-3.8,-0.4,-0.7,-1,／,／,49,76,35,57,／,／,NO,11,1003
28,VUSB002R570PB,SOT-23,-20,-3.2,-0.4,-0.7,-1,／,／,64,95,44,57,／,／,NO,10,548
29,VUSC002R430PA,SOT-23-3L,-20,-4,-0.4,-0.65,-1,63,90,45,60,33,43,／,／,YES,17.2,1450
30,VUSE002R500PA,SOT-23-6L,-20,-4,-0.4,-0.65,-1,63,100,45,60,33,50,／,／,YES,11.4,826
31,VUSC002R240PA,SOT-23-3L,-20,-9,-0.5,-0.7,-1.2,／,／,24,40,18,24,／,／,NO,35,2700
32,VUSE002R240PA,SOT-23-6L,-20,-11,-0.4,-0.7,-1,／,／,20,40,15,24,／,／,NO,26,2588
33,VUSG002R52APA,SOT-323,-20,-0.66,-0.4,-0.7,-1,810,1100,570,780,400,520,／,／,YES,2.26,79
34,VUSG002R750PA,SOT-323,-20,-1.4,-0.4,-0.7,-1,115,156,70,105,50,75,／,／,NO,8.2,350
35,VUSG002R900PA,SOT-323,-20,-1.4,-0.4,-0.7,-1,130,195,92,120,68,90,／,／,NO,8.2,350
36,VUSG002R13APA,SOT-323,-20,-1.4,-0.4,-0.7,-1,155,210,116,140,103,125,／,／,NO,3.2,321
37,VUSK002R52APA,SOT-523,-20,-0.66,-0.4,-0.7,-1,810,1100,570,780,400,520,／,／,YES,2.26,79
38,VUTY002R52APA,WBFBP-03E,-20,-0.66,-0.4,-0.7,-1,810,1100,570,780,400,520,／,／,YES,2.26,79
39,VUTX003R13APA,DFNWB1*1-3L,-30,-1.8,-1,-1.6,-2.4,／,／,／,／,160,190,105,130,NO,3,290
40,VUDA003R80APA,DFN1006-3L,-30,-0.45,-0.5,-1,-1.5,／,／,／,／,680,900,470,800,YES,0.6,55.2
