产品网址：http://www.macmicst.com/index.php/product/product_info/20.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|IGBT 模块|无|无|

Type,V  CES  (V),I  C nom  (A),V  CE (sat)  (V),P  tot  (W),E  off  (mJ),R  thJC  (℃/W),Switches,Packages,PDF资料
MMG75S170B,1700,75,2.40,535,18.50,0.28,B,GS,预览  下载
MMG50S170B,1700,50,2.40,395,9.80,0.38,B,GS,预览  下载
MMG35CE120XB6TC,1200,35,1.8,214,3.2,0.60,XB,GCE,预览  下载
MMG25CE120XB6TC,1200,25,1.85,176,2.10,0.75,XB,GCE,预览  下载
MMG300D120B6UC,1200,300,1.90,1578,23.5,0.095,B,GD,预览  下载
MMG400VB065X6EN,650,400,1.45,1250,14.30,0.12,X,GVB,预览  下载
MMG300B065PD6EN,650,300,1.45,856,11.50,0.175,PD,GB,预览  下载
MMG200B065PD6EN,650,200,1.45,600,7.10,0.25,PD,GB,预览  下载
MMG150B065PD6EN,650,150,1.45,428,5.15,0.35,PD,GB,预览  下载
MMG400D060B6TC,600,400,1.55,1200,12.6,0.125,B,GD,预览  下载
