RFM210LH,,射频模块,RX,ASK/OOK,0.5-40Kbps,315/433.92MHz,-112dBm,-,21*11*5mm,TWI,-,
RFM218B,,射频模块,RX,2(G)FSK,2.4Kbps,315/433.92/868.35/915MHz,-117dBm,-,16*16*1.8,TWI,-,
RFM210LH-D,,射频模块,RX,OOK,1-5Kbps,315/433.92MHz,-109dBm,-,32*11*5mm,TWI,-,
RFM219B,,射频模块,RX,2(G)FSK/OOK,0.5-300Kbps,127-1020MHz,-120dBm,-,16*16*1.9mm,SPI,-,支持前向纠错
RFM219S,,射频模块,RX,2(G)FSK/OOK,0.1-100Kbps,300-960MHz,-109dBm,-,16*16*5.0mm,SPI,-,RoHS标准
RFM217LB,,射频模块,RX,OOK,0.1-40Kbps,868.35/915MHz,-108dBm,-,32*11*5mm,TWI,-,支持自动 DutyCycle
RFM217B,,射频模块,RX,OOK,0.1-40Kbps,315/433.92/868.35/915MHz,-113dBm,-,32*11*5mm,TWI,-,支持自动 DutyCycle
RFM210LCF,,射频模块,RX,ASK/OOK,1-5Kbps,315/433.92MHz,-114dBm,-,32*11*5mm,TWI,-,
RFM210LB,,射频模块,RX,OOK,0.1-40Kbps,315/433.92MHz,-113dBm,-,32*11*5mm,TWI,-,
RFM119BP,,射频模块,TX,2(G)FSK/(G)MSK/OOK,0.5-300Kbps,433.92-868MHz,-,4W,-,SPI,-,3-wire
RFM119S,,射频模块,TX,2(G)FSK/OOK,0.5-30Kbps(OOK)  0.5-100Kbps(FSK/GFSK),240-960MHz,-,10dBm,16*16*5.0mm,TWI,-,RoHS标准
RFM119B,,射频模块,TX,2(G)FSK/(G)MSK/OOK,0.5-300Kbps,127-1020MHz,-,20dBm,16*16*1.9mm,SPI,-,
RFM119,,射频模块,TX,2(G)FSK/OOK,0.5-100Kbps(FSK/GFSK)  0.5-30Kbps(OOK),240-960MHz,-,13dBm,17.8*12.8*5mm,TWI,-,
RFM110,,射频模块,TX,OOK,0.5-40Kbps,240-480MHz,-,13dBm,17.8*12.8*5mm,TWI,-,
CMT6100A,,射频芯片,-,-,-,-,-,-,2.92*2.8*1.35mm,SOT,23-6,
CMT2159A,,射频芯片,TX,2(G)FSK/OOK,0.5-40Kbps(OOK)  0.5-300Kbps(FSK),240-960MHz,-,13dBm,8.65*6*1.75mm,SOP,14,
CMT2156B,,射频芯片,TX,OOK,0.5-40Kbps,240-960MHz,-,13dBm,3*3*0.75mm,QNF,16,
CMT2156A,,射频芯片,TX,OOK,0.5-40Kbps,240-480MHz,-,13dBm,8.65*6*1.75mm,SOP,14,With Encoder
CMT2157L,,射频芯片,TX,OOK,0.5-40Kbps,240-960MHz,-,13dBm,4.92*6*1.65mm,SOP,8,
CMT2157A,,射频芯片,TX,2(G)FSK/OOK,0.5-30Kbps,240-960MHz,-,13dBm,8.65*6*1.75mm,SOP,14,
CMT2150A,,射频芯片,TX,OOK,0.5-30Kbps,240-480MHz,-,13dBm,8.65*6*1.75mm,SOP,14,
CMT2157B,,射频芯片,TX,OOK,0.5-40Kbps,240-960MHz,-,13dBm,8.65*6*1.75mm,SOP,14,Encoder + 10 Keys
CMT2150L,,射频芯片,TX,OOK,0.5-40Kbps,240-480MHz,-,13dBm,4.92*6*1.65mm,SOP,8,Encoder+6 Keys
CMT2391F128,,射频芯片,TRx,2(G)FSK/4(G)FSK/OOK,0.1-1000Kbps,113-960MHz,-122dBm,20dBm,7*7*0.75mm,QFN,68,
CMT2390F64,,射频芯片,TRx,2(G)FSK/4(G)FSK/OOK,0.1-1000Kbps,113-960MHz,-122dBm,20dBm,6*6*0.75mm,QFN,48,
CMT2380F64,,射频芯片,TRx,2(G)FSK/(G)MSK/OOK,0.5-300Kbps(FSK)  0.5-40Kbps(OOK),127-1020MHz,-121dBm,20dBm,5*5*0.75mm,QFN,40,
CMT2380F17,,射频芯片,TRx,2(G)FSK/(G)MSK/OOK,0.5-300Kbps,127-1020MHz,-121dBm,20dBm,5*5*0.75mm,QFN,40,
CMT2380F32,,射频芯片,TRx,2(G)FSK/(G)MSK/OOK,0.5-300Kbps,127-1020MHz,-121dBm,20dBm,5*5*0.75mm,QFN,40,
CMT2380F16,,射频芯片,TRx,2(G)FSK/(G)MSK/OOK,0.5-300Kbps,127-1020MHz,-121dBm,20dBm,6*6*0.75mm,QFN,48,
CMT2165A,,射频芯片,TX,2(G)FSK/OOK,0.5-40Kbps(OOK)  0.5-200Kbps(G/FSK),27-960MHz,-,13dBm,5*5*0.75mm,QFN,32,
CMT2189D,,射频芯片,TX,2(G)FSK/OOK,0.5-40Kbps(OOK)  0.5-200Kbps(G/FSK),27-960MHz,-,13dBm,4*4*0.75mm,QFN,20,
CMT2168A,,射频芯片,TX,2(G)FSK/OOK,0.5-40Kbps(OOK)  0.5-200Kbps(G/FSK),27-960MHz,-,13dBm,5*5*0.75mm,QFN,32,
CMT2163A,,射频芯片,TX,2(G)FSK/OOK,0.5-200Kbps(G/FSK)  0.5-40Kbps(OOK),27-960MHz,-,13dBm,,TSSOP,28,
CMT2180B,,射频芯片,TX,OOK,0.5-40Kbps,312-480MHz,-,13dBm,8.65*6*1.75mm,SOP,14,
CMT2180D,,射频芯片,TX,OOK,1-40Kbps,312-480MHz,-,13dBm,10*6.2*4.4mm,SOP,16,
CMT2189B,,射频芯片,TX,OOK,1-40Kbps,240-960MHz,-,13dBm,8.65*6*1.75mm,SOP,14,With PIC-Like MCU
CMT2189C,,射频芯片,TX,2(G)FSK/OOK,1-100Kbps((G/FSK)  1-30Kbps(OOK),240-960MHz,-,13dBm,8.65*6*1.75mm,SOP,14,RoHS
CMT2281F2,,射频芯片,RX,OOK,1-40Kbps,300-960MHz,-109dBm,-,10*6.2*4.4mm,SOP,16,
CMT2280F2,,射频芯片,RX,OOK,1-40Kbps,300-960MHz,-109dBm,-,10*6.2*4.4mm,SOP,16,With PIC-Like MCU
CMT2310A,,射频芯片,TRx,2(G)FSK/4(G)FSK/OOK,0.2-1000Kbps(4FSK)  0.1-500Kbps(2FSK)  0.1-300Kbps(OOK),113-960MHz,-122dBm,20dBm,4*4*0.75mm,QFN,24,4-SPI
CMT2300A,,射频芯片,TRx,2(G)FSK/(G)MSK/OOK,0.5-300Kbps(FSK)  0.5-40Kbps(OOK),127-1020MHz,-120dBm,20dBm,3*3*0.75mm,QFN,(16)3*3,3+1 wire SPI
CMT2220LY,,射频芯片,RX,OOK,1-5Kbps,300-480MHz,-109dBm,-,4.92*6*1.65mm,SOP,8,符合 RoHS 标准
CMT2220LS,,射频芯片,RX,OOK,1-5Kbps,300-480MHz,-107dBm,-,4.92*6*1.65mm,SOP,8,
CMT2210LB,,射频芯片,RX,OOK,0.1-40Kbps,300-480MHz,-113dBm,-,4.92*6*1.65mm,SOP,8,Standalone + 1 Dout
CMT2210LC,,射频芯片,RX,OOK,1-5Kbps,315-433.92MHz,-109dBm,-,4.92*6*1.65mm,SOP,8,
CMT2219B,,射频芯片,RX,2(G)FSK/(G)MSK/OOK,0.5-300Kbps(FSK)  0.5-40Kbps(OOK),127-1020MHz,-120dBm,-,3*3*0.75mm,QFN,16,3 wire SPI + 1-wire
CMT2219A,,射频芯片,RX,2(G)FSK/(G)MSK/OOK,0.1-100Kbps(FSK)  0.5-30Kbps(OOK),300-960MHz,-109dBm,-,3*3*0.75mm,QFN,16,3+1 wire SPI
CMT2218B,,射频芯片,RX,2(G)FSK,0.5-300Kbps,127-1020MHz,-120dBm,-,3*3*0.75mm,QFN,16,Direct Mode
CMT2210LH,,射频芯片,RX,OOK,0.1-40Kbps,300-480MHz,-109dBm,-,4.92*6*1.65mm,SOP,8,Standalone+1 Dout
CMT2117B,,射频芯片,TX,OOK,20Kbps,624-960MHz,-,13dBm,2.72*2.6*1.35mm,SOT,23-6,Standalone+1 Dout
CMT2110B,,射频芯片,TX,OOK,0.5-20kbps,312-480 MHz,-,13dBm,2.92*2.8*1.1mm,SOT,23-6,
CMT2119B,,射频芯片,TX,2(G)FSK/(G)MSK/OOK,0.5-300Kbps(FSK)  0.5-40Kbps(OOK),127-1020MHz,-,20dBm,3*3*0.75mm,QFN,16,With PIC-Like MCU
